best_epoch: 8
epoch,training_accuracy,training_loss,validation_accuracy,validation_loss
0,0.772177,0.960257,0.823529,0.461046
1,0.824597,0.518307,0.911765,0.398334
2,0.856855,0.520762,0.882353,0.434881
3,0.864919,0.465210,0.860294,0.389973
4,0.893145,0.377835,0.889706,0.384528
5,0.932460,0.294652,0.875000,0.412428
6,0.955645,0.235232,0.801471,0.535465
7,0.959677,0.215774,0.867647,0.409854
8,0.983871,0.150086,0.919118,0.386568
9,0.986895,0.132886,0.860294,0.498262
10,0.984879,0.142627,0.867647,0.524513
11,0.994960,0.117598,0.875000,0.498753
12,0.992944,0.110192,0.911765,0.384426
13,1.000000,0.093159,0.882353,0.360245
14,1.000000,0.088223,0.889706,0.407274
15,1.000000,0.083873,0.882353,0.435063
16,0.996976,0.089562,0.882353,0.474532
17,0.986895,0.157307,0.911765,0.448469
18,0.996976,0.097679,0.882353,0.445547
19,1.000000,0.082102,0.875000,0.426430
