instance_id,id,user.id,created_at,text
0,1075967834671374336,973814985234272256,Fri Dec 21 04:14:56 +0000 2018,"""@Sanju_Live දිගටම නොනවත්වා මෙහෙම උනොත් අපිට සිද්ද වෙනව ක්‍රියාමාර්ගයක් ගන්න.. ගහනව අපිත් ඔක්කොම ඩුප්ලිකේට්.."""
1,1075942865950425088,3165646736,Fri Dec 21 02:35:43 +0000 2018,"""@Dilan_Perera45 කොපි කරලා සර්ච් කරලා බලන්න ඔයාට සැක නම් ඕකෙ ඔරිජිනල් කාගෙද කියලා හුම්😒"""
2,1075937583576829957,2713529238,Fri Dec 21 02:14:44 +0000 2018,"""එඩේරා පසුපස ගව රැල එන්නා සේ අපි පසු පස අපේ ගව රැල එනවලු...අයියො ....🤣🤣🤣 https://t.co/DD39YRdrWR"""
3,1075933584626569216,324432673,Fri Dec 21 01:58:51 +0000 2018,"""@milindarj රංගේ ඉන්නවා... කොහොමත් මෙෙත්‍රීගේ සෙල්ලම් තව උපරිම උනොත් දවස් 352යි... 😂"""
4,1075921815174832128,147184014,Fri Dec 21 01:12:05 +0000 2018,"""බේරු­වල හොරො­යින් තොගයේ සැක­ක­රුවෝ රිමාන්ඩ් https://t.co/Yan4JyZIGG"""
5,1075917438301003776,980446497685852160,Fri Dec 21 00:54:41 +0000 2018,"""තිලා උඹ එදා මේ කෙල්ලට මතුරපු නාරං කැවුමක් කැව්ව නේද? ඇත්ත කියාපන්.. මට සැක හිතුන ළඟටම වෙලා ඉඳගෙන හිටපු විදිහට 🤨🤨 https://t.co/cdlhoDv11C"""
6,1075891717428178944,3165646736,Thu Dec 20 23:12:29 +0000 2018,"""@RakzzMaduOnline @Chamalka_N @Soulchild_Rishi ෆේක් එකක් කියලා හිතලා බ්ලොක් කරනවා තව ටිකෙන්😂"""
7,1075843006811365376,1060024229167489024,Thu Dec 20 19:58:55 +0000 2018,"""@ChanakaDinushan @SajithP අනේ පල හුත්තො තොපේ මහ එකාගෙ දවසක වියඳම කීයද ඒ දවස් වල"""
8,1075802379847557120,905674137133133824,Thu Dec 20 17:17:29 +0000 2018,"""@DJSlash9 @moogater @RathuMakaraFM_ එන්න එන්න දැන් පරක්කු නෑ... මුළ ටික හෙට https://t.co/p7vdVphhDN එකෙන් අහමු ඊට පස්සේ ආයම 🙊"""
9,1075795210624557057,343755137,Thu Dec 20 16:49:00 +0000 2018,"""@maalupaan හා මම ලංකාවට ආපු දවසක ඔයාගේ මාළූ පාන් හදලා දෙන්න"""
10,1075793783051042816,3238982816,Thu Dec 20 16:43:19 +0000 2018,"""@nwty_ck @dudeum_Nethu අපිටත් එහෙම කරයිද දන් නෑ දවසක 😥😥😥"""
11,1075784895820050432,3238982816,Thu Dec 20 16:08:00 +0000 2018,"""හිතලා ට්වීට් දානවට වඩා ඩුබ් ගහන එක නම් 😍✋🤝"""
12,1075776273211768833,2473955773,Thu Dec 20 15:33:45 +0000 2018,"""@MatiBole බෑනෙ මැටිබෝලෙ කරන්න...ගමේ කෙල්ලො ගැන හිතලා නොයා ඉන්නවා 😂✌🏽  අර නාඩගමේ රජාට ඇන්ද සීන් එක වෙන්නෙ නැත්තන් 🤭"""
13,1075759595908300800,973814985234272256,Thu Dec 20 14:27:28 +0000 2018,"""@Madurangakalpa1 ගහමු..පතා එකේ... දවසක..😁"""
